Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,12
design__inferred_latch__count,0
design__instance__count,3151
design__instance__area,64657.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.005325657315552235
power__switching__total,0.0031686946749687195
power__leakage__total,3.062814357690513E-7
power__total,0.008494658395648003
clock__skew__worst_hold__corner:nom_tt_025C_3v30,6.57037154391726
clock__skew__worst_setup__corner:nom_tt_025C_3v30,10.102038602677702
timing__hold__ws__corner:nom_tt_025C_3v30,1.2498090693899402
timing__setup__ws__corner:nom_tt_025C_3v30,9.081853748318428
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.249809
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,11.968477
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,0
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,9.08667300456002
clock__skew__worst_setup__corner:nom_ss_125C_3v00,15.740293070020991
timing__hold__ws__corner:nom_ss_125C_3v00,2.775992847498984
timing__setup__ws__corner:nom_ss_125C_3v00,2.6316700674649245
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,0.0
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,0.0
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.775993
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,3.991101
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,5.452875638697447
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,7.6570245644622705
timing__hold__ws__corner:nom_ff_n40C_3v60,0.5974189090304323
timing__setup__ws__corner:nom_ff_n40C_3v60,11.846838512172319
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.597419
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,9
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,9.361300444233551
clock__skew__worst_setup,7.503731182135534
timing__hold__ws,0.592650612027113
timing__setup__ws,2.254709371914621
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.592651
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.737448
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,3151
design__instance__area__stdcell,64657.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.59906
design__instance__utilization__stdcell,0.59906
design__instance__count__class:tie_cell,15
design__instance__count__class:buffer,9
design__instance__count__class:inverter,213
design__instance__count__class:sequential_cell,320
design__instance__count__class:multi_input_combinational_cell,1490
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:endcap_cell,162
design__instance__count__class:tap_cell,705
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,81941.4
design__violations,0
design__instance__count__class:timing_repair_buffer,223
design__instance__count__class:clock_buffer,14
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2298
route__net__special,2
route__drc_errors__iter:1,446
route__wirelength__iter:1,92853
route__drc_errors__iter:2,113
route__wirelength__iter:2,92325
route__drc_errors__iter:3,104
route__wirelength__iter:3,92156
route__drc_errors__iter:4,1
route__wirelength__iter:4,92036
route__drc_errors__iter:5,0
route__wirelength__iter:5,92036
route__drc_errors,0
route__wirelength,92036
route__vias,14686
route__vias__singlecut,14686
route__vias__multicut,0
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,692.46
design__instance__count__class:fill_cell,3011
timing__unannotated_net__count__corner:nom_tt_025C_3v30,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,7
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,0
design__max_fanout_violation__count__corner:min_tt_025C_3v30,0
design__max_cap_violation__count__corner:min_tt_025C_3v30,1
clock__skew__worst_hold__corner:min_tt_025C_3v30,6.442105697897871
clock__skew__worst_setup__corner:min_tt_025C_3v30,9.847248628569215
timing__hold__ws__corner:min_tt_025C_3v30,1.24201275002362
timing__setup__ws__corner:min_tt_025C_3v30,9.250190208965073
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,1.242013
